subjectID,session,delayMsec,trial,isAnimal,response,numberDistractors
KAE,1,0,13,0,0,42
KAE,1,0,14,0,1,44
KAE,1,0,15,1,1,39
KAE,1,0,16,1,1,41
KAE,1,0,17,1,1,42
KAE,1,0,18,1,1,43
KAE,1,0,19,1,1,44
KAE,1,0,20,1,1,45
KAE,1,0,21,0,0,46
KAE,1,0,22,0,0,47
KAE,1,0,23,0,0,48
KAE,1,0,24,1,1,49
KAE,1,0,25,0,0,49
KAE,1,0,26,1,1,50
KAE,1,0,27,1,1,51
KAE,1,0,28,1,1,52
KAE,1,0,29,0,0,52
KAE,1,0,30,0,0,53
KAE,1,0,31,1,1,54
KAE,1,0,32,0,1,54
KAE,1,0,33,0,0,52
KAE,1,0,34,1,1,53
KAE,1,0,35,0,0,53
KAE,1,0,36,0,0,54
KAE,1,0,37,1,1,54
KAE,1,0,38,0,0,55
KAE,1,0,39,0,0,55
KAE,1,0,40,0,0,56
KAE,1,0,41,1,1,57
KAE,1,0,42,1,1,57
KAE,1,0,43,0,0,58
KAE,1,0,44,1,1,58
KAE,1,0,45,0,0,59
KAE,1,0,46,1,1,59
KAE,1,0,47,1,1,60
KAE,1,0,48,1,1,60
KAE,1,0,49,1,0,61
KAE,1,0,50,0,0,59
KAE,1,40,1,0,1,50
KAE,1,40,2,0,0,21
KAE,1,40,3,0,0,25
KAE,1,40,4,0,0,29
KAE,1,40,5,0,0,33
KAE,1,40,6,0,1,36
KAE,1,40,7,1,1,26
KAE,1,40,8,1,1,29
KAE,1,40,9,1,1,31
KAE,1,40,10,1,1,33
KAE,1,40,11,1,1,35
KAE,1,40,12,0,0,37
KAE,1,40,13,0,1,38
KAE,1,40,14,1,1,34
KAE,1,40,15,0,0,35
KAE,1,40,16,0,0,37
KAE,1,40,17,1,1,38
KAE,1,40,18,0,0,39
KAE,1,40,19,1,1,39
KAE,1,40,20,1,1,40
KAE,1,40,21,1,1,41
KAE,1,40,22,0,0,42
KAE,1,40,23,0,0,43
KAE,1,40,24,1,1,43
KAE,1,40,25,0,0,44
KAE,1,40,26,1,1,45
KAE,1,40,27,1,1,45
KAE,1,40,28,0,0,46
KAE,1,40,29,1,1,47
KAE,1,40,30,0,0,47
KAE,1,40,31,1,1,48
KAE,1,40,32,0,0,49
KAE,1,40,33,0,0,49
KAE,1,40,34,1,1,50
KAE,1,40,35,0,1,51
KAE,1,40,36,0,0,48
KAE,1,40,37,1,1,49
KAE,1,40,38,1,1,49
KAE,1,40,39,1,1,50
KAE,1,40,40,1,1,50
